team_abbreviation_away,team_abbreviation_home,wl_home,game_date,home_conf,away_conf,winning_conference
WAS,PHX,W,2021-04-10T00:00:00Z,W,E,W
LAL,BKN,L,2021-04-10T00:00:00Z,E,W,W
DET,POR,W,2021-04-10T00:00:00Z,W,E,W
PHI,OKC,L,2021-04-10T00:00:00Z,W,E,E
MIA,POR,L,2021-04-11T00:00:00Z,W,E,E
CHI,MIN,W,2021-04-11T00:00:00Z,W,E,W
IND,MEM,L,2021-04-11T00:00:00Z,W,E,E
DET,LAC,W,2021-04-11T00:00:00Z,W,E,W
BOS,DEN,L,2021-04-11T00:00:00Z,W,E,E
NOP,CLE,L,2021-04-11T00:00:00Z,E,W,W
CHI,MEM,W,2021-04-12T00:00:00Z,W,E,W
PHI,DAL,L,2021-04-12T00:00:00Z,W,E,E
SAS,ORL,L,2021-04-12T00:00:00Z,E,W,W
WAS,UTA,L,2021-04-12T00:00:00Z,W,E,E
LAL,NYK,W,2021-04-12T00:00:00Z,E,W,E
BOS,POR,L,2021-04-13T00:00:00Z,W,E,E
MIA,PHX,W,2021-04-13T00:00:00Z,W,E,W
BKN,MIN,L,2021-04-13T00:00:00Z,W,E,E
LAL,CHA,L,2021-04-13T00:00:00Z,E,W,W
LAC,IND,L,2021-04-13T00:00:00Z,E,W,W
LAC,DET,L,2021-04-14T00:00:00Z,E,W,W
SAS,TOR,W,2021-04-14T00:00:00Z,E,W,E
IND,HOU,L,2021-04-14T00:00:00Z,W,E,E
MIL,MIN,L,2021-04-14T00:00:00Z,W,E,E
WAS,SAC,L,2021-04-14T00:00:00Z,W,E,E
NYK,NOP,L,2021-04-14T00:00:00Z,W,E,E
MIA,DEN,W,2021-04-14T00:00:00Z,W,E,W
GSW,CLE,L,2021-04-15T00:00:00Z,E,W,W
BOS,LAL,L,2021-04-15T00:00:00Z,W,E,E
NYK,DAL,L,2021-04-16T00:00:00Z,W,E,E
LAC,PHI,W,2021-04-16T00:00:00Z,E,W,E
NOP,WAS,W,2021-04-16T00:00:00Z,E,W,E
OKC,DET,W,2021-04-16T00:00:00Z,E,W,E
MIA,MIN,W,2021-04-16T00:00:00Z,W,E,W
MEM,CHI,L,2021-04-16T00:00:00Z,E,W,W
IND,UTA,W,2021-04-16T00:00:00Z,W,E,W
GSW,BOS,W,2021-04-17T00:00:00Z,E,W,E
MEM,MIL,L,2021-04-17T00:00:00Z,E,W,W
NOP,NYK,W,2021-04-18T00:00:00Z,E,W,E
POR,CHA,W,2021-04-18T00:00:00Z,E,W,E
HOU,ORL,L,2021-04-18T00:00:00Z,E,W,W
OKC,TOR,W,2021-04-18T00:00:00Z,E,W,E
GSW,PHI,L,2021-04-19T00:00:00Z,E,W,W
PHX,MIL,L,2021-04-19T00:00:00Z,E,W,W
SAS,IND,L,2021-04-19T00:00:00Z,E,W,W
OKC,WAS,W,2021-04-19T00:00:00Z,E,W,E
HOU,MIA,W,2021-04-19T00:00:00Z,E,W,E
BKN,NOP,L,2021-04-20T00:00:00Z,W,E,E
MIA,SAS,L,2021-04-21T00:00:00Z,W,E,E
DET,DAL,W,2021-04-21T00:00:00Z,W,E,W
GSW,WAS,W,2021-04-21T00:00:00Z,E,W,E
PHX,PHI,L,2021-04-21T00:00:00Z,E,W,W
